DATE,	TRANSACTION_ID,	DESCRIPTION,	QUANTITY,	SYMBOL,	PRICE,	COMMISSION,	AMOUNT
01/02/2020,	24371127086,	Bought 1000 RAD @ 16.38,	1000,	RAD,	16.38, 0,	-16380
01/02/2020,	24371245917,	Sold 1000 RAD @ 16.23, 	1000,	RAD,	16.23,	0,	16229.54
01/02/2020,	24371378459,	Bought 1000 RAD @ 16.285,	1000,	RAD,	16.285,	0,	-16285
01/02/2020,	24371540893,	Sold 900 RAD @ 16.14,	900,	RAD,	16.14,	0,	14525.59
01/02/2020,	24524600536,	Sold,	200,	CSCO,	48.721,	0,	9743.98
01/02/2020,	24371540908,  Sold 100 RAD @ 16.13,	100,	RAD,	16.13,	0,	1612.96
01/02/2020,	24374091891,	Bought 1000 RAD @ 15.248,	1000,	RAD,	15.248,	0,	-15248
01/02/2020,	24374127212,	Sold 700 RAD @ 15.12,	700,	RAD,	15.12,	0,	10583.7
01/02/2020,	24374127217,	Sold 300 RAD @ 15.11,	300,	RAD,	15.11,	0,	4532.87
01/02/2020,	24374153412,	Bought 5 AAPL @ 298.7201,	5,	AAPL,	298.7201,	0,	1493.57
01/06/2020,	24410596209,	Bought 1000 RAD @ 13.4,	1000,	RAD,	13.4,	0,	-13400
01/07/2020,	24425201843,	Sold 42 RAD @ 12.835,	42,	RAD,	12.835,	0,	539.06
01/07/2020,	24425201856,	Sold 958 RAD @ 12.83,	958,	RAD,	12.83,	0,	12290.78
01/07/2020,	24425937054,	Bought 3 AMZN @ 1899.05,	3,	AMZN,	1899.05,	0,	3798.02
01/07/2020,	24425937058,	Sold 3 AMZN @ 1899,	3,	AMZN,	1899,	0,	5696.88
01/07/2020,	24426168539,	Bought 1000 RAD @ 12.42,	1000,	RAD,	12.42,	0,	-12420
01/07/2020,	24426186170,	Sold 1000 RAD @ 12.35,	1000,	RAD,	12.35,	0,	12349.62
01/07/2020,	24426279004,	Bought 1000 RAD @ 12.53,	1000,	RAD,	12.53,	0,	-12530
01/07/2020,	24426340722,	Sold 100 RAD @ 12.54,	100,	RAD,	12.54,	0,	1253.96
01/07/2020,	24426340729,	Sold 301 RAD @ 12.53,	301,	RAD,	12.53,	0,	3771.42
01/02/2020,	24524600536,	Bought,	200,	CSCO,	48.721,	0,	9743.98
01/07/2020,	24426340745,	Sold 599 RAD @ 12.52,	599,	RAD,	12.52,	0, 7499.25
01/07/2020,	24426415226,	Bought 1000 RAD @ 12.71,	1000,	RAD,	12.71,	0,	-12710
01/07/2020,	24426530616,	Sold 1000 RAD @ 12.56,	1000,	RAD,	12.56,	0,	12559.62
01/08/2020, 24437273203,	Bought 300 WORK @ 23.6041,	300,	WORK,	23.6041,	0,	-7081.23
01/08/2020,	24439105229,	Bought 1000 RAD @ 13.6294,	1000,	RAD,	13.6294,	0,	-13629.4
01/08/2020,	24439736650,	Sold 1000 RAD @ 14.05,	1000,	RAD,	14.05,	0,	14049.61
01/09/2020,	24374153412, 	Sold 5 RAD @ 14.05,	5,	AAPL,	298.7201,	0, 1493.57
